pergunta, resposta
"Como abrir um chamado?", "Para abrir um chamado, acesse o menu 'Meus chamados' e clique em 'Abrir Novo Chamado'. Preencha todos os campos obrigatórios e clique em 'Criar chamado'."
"Qual o prazo de resposta?", "O prazo de resposta varia de acordo com a prioridade: Alta - 4 horas, Média - 1 dia útil, Baixa - 3 dias úteis."
"Como acompanhar meu chamado?", "Você pode acompanhar seu chamado acessando a página inicial e clicando no número do ticket. Você receberá notificações por email sobre atualizações."
"Como anexar arquivos?", "Ao criar ou editar um chamado, clique no botão 'Anexar Arquivos' e selecione os documentos desejados. Formatos aceitos: PDF, JPG, PNG, DOC, XLS."
"Esqueci minha senha", "Clique em 'Esqueci minha senha' na página de login. Você receberá um email com instruções para redefinir sua senha."
"Como alterar meus dados?", "Acesse o menu 'Configurações' e depois 'Meu Perfil'. Lá você pode atualizar suas informações pessoais."
"Sistema fora do ar", "Se o sistema estiver fora do ar, entre em contato com o suporte técnico pelo telefone (11) 1234-5678 ou aguarde o restabelecimento do serviço."
"Erro ao fazer login", "Verifique se digitou corretamente seu email e senha. Certifique-se de que as letras maiúsculas e minúsculas estão corretas. Se o problema persistir, tente redefinir sua senha."
"Como classificar prioridade?", "A prioridade deve ser classificada conforme o impacto no seu trabalho: Alta - impossibilita trabalho, Média - dificulta trabalho, Baixa - melhoria ou dúvida."
"Posso cancelar chamado?", "Sim, você pode cancelar um chamado enquanto ele estiver com status 'Aberto'. Acesse o chamado e clique em 'Cancelar'."
